Název titulu v AIS,číslo titulu v AIS,rok,žánr,číslo zdroje digitalizace obrazu v AIS,číslo zdroje digitalizace zvuku v AIS,datum digitalizace,místo digitalizace,technologie digitalizace,délka v sekundách,poznámky,kontrola kvality
ČESKOSLOVENSKÉ FILMOVÉ NOVINY 1952 Č.33,3921573,1952,zpravodajský film,KF-K 29171,KF-K 29171,2016,Barrandov,HD telecine,"642,76",,
ČESKOSLOVENSKÉ FILMOVÉ NOVINY 1952 Č.37,3921574,1952,zpravodajský film,KF-K 29173,KF-K 29173,2016,Barrandov,HD telecine,"687,68",,
ČESKOSLOVENSKÉ FILMOVÉ NOVINY 1953 Č.01,3920330,1953,zpravodajský film,KF-K 19746,KF-K 19746,2016,Česká televize,HD telecine,"682,04",,
Československé průmyslové podniky,0061035,1929,dokument,A5598,A5598,27.3.2017,Barrandov,HD telecine,884.440000,,
ČESKOSLOVENSKÝ DUNAJ,0061047,1933,dokument,KF-K 7457,x,2015,Barrandov,HD telecine,"3942,080000",,
ČESKOSLOVENSKÝ FILMOVÝ TÝDENÍK 1953 Č. 51,3920176,1953,zpravodajský film,KF-K 21690,KF-K 021690,2015,Barrandov,HD telecine,"599,040000",,
ČESKOSLOVENSKÝ FILMOVÝ TÝDENÍK 1953 Č.07,3920158,1953,zpravodajský film,KF-K 21687,KF-K 21687,2016,Barrandov,HD telecine,"535,36",,
ČESKOSLOVENSKÝ FILMOVÝ TÝDENÍK 1953 Č.11,3920318,1953,zpravodajský film,KF-K 14952,KF-K 14952,2016,Barrandov,HD telecine,"1 062,88",,
ČESKOSLOVENSKÝ FILMOVÝ TÝDENÍK 1953 Č.12.-13.,3920097,1953,zpravodajský film,KF-K 21151,KF-K 21151,2016,Barrandov,HD telecine,"1 914,76",,
ČESKOSLOVENSKÝ FILMOVÝ TÝDENÍK 1953 Č.19,3921125,1953,zpravodajský film,KF-K 3156,KF-K 3156,2016,Barrandov,HD telecine,"897,12",,
ČESKOSLOVENSKÝ FILMOVÝ TÝDENÍK 1954 Č.01,3920201,1954,zpravodajský film,KF-K 022011,KF-K 022011,2016,Barrandov,HD telecine,"657,04",,
ČESKOSLOVENSKÝ FILMOVÝ TÝDENÍK 1954 Č.08,3920181,1954,zpravodajský film,KF-K 22016,KF-K 22016,2016,Barrandov,HD telecine,"650,04",,
ČESKOSLOVENSKÝ FILMOVÝ TÝDENÍK 1955 Č. 20,3920227,1955,zpravodajský film,KF-K 022312,KF-K 022312,2015,Barrandov,HD telecine,"912,040000",,
ČESKOSLOVENSKÝ FILMOVÝ TÝDENÍK 1956 Č.37,3921637,1956,zpravodajský film,DP-K 32217,DP-K 32217,2016,Barrandov,HD telecine,"644,04",,
ČESKOSLOVENSKÝ FILMOVÝ TÝDENÍK 1956 Č.43,3921303,1956,zpravodajský film,KF-K 28732,KF-K 28732,2016,Barrandov,HD telecine,"668,04",,
ČESKOSLOVENSKÝ FILMOVÝ TÝDENÍK 1956 Č.46,3921644,1956,zpravodajský film,KF-K 32218,KF-K 32218,2016,Barrandov,HD telecine,"672,04",,
ČESKOSLOVENSKÝ FILMOVÝ TÝDENÍK 1956 Č.48,3921646,1956,zpravodajský film,DP-K 32220,DP-K 32220,2016,Barrandov,HD telecine,"651,52",,
ČESKOSLOVENSKÝ FILMOVÝ TÝDENÍK 1957 Č.01,3921650,1957,zpravodajský film,KF-K 32240,KF-K 32240,2016,Barrandov,HD telecine,"555,04",,
ČESKOSLOVENSKÝ FILMOVÝ TÝDENÍK 1957 Č.02,3921651,1957,zpravodajský film,KF-K 32241,KF-K 32241,2016,Barrandov,HD telecine,"583,05",,
ČESKOSLOVENSKÝ FILMOVÝ TÝDENÍK 1957 Č.03,3922960,1957,zpravodajský film,KF-K 35474,KF-K 35474,2016,Barrandov,HD telecine,"671,04",,
ČESKOSLOVENSKÝ FILMOVÝ TÝDENÍK 1957 Č.04,3921652,1957,zpravodajský film,KF-K 32242,KF-K 32242,2016,Barrandov,HD telecine,"674,04",,
ČESKOSLOVENSKÝ FILMOVÝ TÝDENÍK 1957 Č.05,3921653,1957,zpravodajský film,KF-K 32223,KF-K 32223,2016,Barrandov,HD telecine,"643,04",,
ČESKOSLOVENSKÝ FILMOVÝ TÝDENÍK 1957 Č.06,3921654,1957,zpravodajský film,KF-K 32255,KF-K 32255,2016,Barrandov,HD telecine,"651,00",,
ČESKOSLOVENSKÝ FILMOVÝ TÝDENÍK 1957 Č.07,3921655,1957,zpravodajský film,KF-K 32224,KF-K 32224,2016,Barrandov,HD telecine,"690,04",,
ČESKOSLOVENSKÝ FILMOVÝ TÝDENÍK 1957 Č.08,3921656,1957,zpravodajský film,KF-K 32225,KF-K 32225,2016,Barrandov,HD telecine,"696,04",,
ČESKOSLOVENSKÝ FILMOVÝ TÝDENÍK 1957 Č.09,3921657,1957,zpravodajský film,KF-K 32226,KF-K 32226,2016,Barrandov,HD telecine,"639,04",,
ČESKOSLOVENSKÝ FILMOVÝ TÝDENÍK 1957 Č.10,3921658,1957,zpravodajský film,KF-K 32227,KF-K 32227,2016,Barrandov,HD telecine,"651,32",,
ČESKOSLOVENSKÝ FILMOVÝ TÝDENÍK 1957 Č.11,3921659,1957,zpravodajský film,KF-K 32228,KF-K 32228,2016,Barrandov,HD telecine,"645,04",,
ČESKOSLOVENSKÝ FILMOVÝ TÝDENÍK 1957 Č.12,3921660,1957,zpravodajský film,KF-K 32229,KF-K 32229,2016,Barrandov,HD telecine,"605,04",,
ČESKOSLOVENSKÝ FILMOVÝ TÝDENÍK 1957 Č.13,3921661,1957,zpravodajský film,KF-K 32230,KF-K 32230,2016,Barrandov,HD telecine,"681,04",,
ČESKOSLOVENSKÝ FILMOVÝ TÝDENÍK 1957 Č.14,3921662,1957,zpravodajský film,KF-K 32231,KF-K 32231,2016,Barrandov,HD telecine,"566,04",,
ČESKOSLOVENSKÝ FILMOVÝ TÝDENÍK 1957 Č.15,3921663,1957,zpravodajský film,KF-K 32232,KF-K 32232,2016,Barrandov,HD telecine,"593,08",,
ČESKOSLOVENSKÝ FILMOVÝ TÝDENÍK 1957 Č.16,3921664,1957,zpravodajský film,KF-K 32243,KF-K 32243,2016,Barrandov,HD telecine,"598,04",,
ČESKOSLOVENSKÝ FILMOVÝ TÝDENÍK 1957 Č.17,3921665,1957,zpravodajský film,KF-K 32244,KF-K 32244,2016,Barrandov,HD telecine,"552,04",,
ČESKOSLOVENSKÝ FILMOVÝ TÝDENÍK 1957 Č.18,3921666,1957,zpravodajský film,KF-K 32245,KF-K 32245,2016,Barrandov,HD telecine,"570,00",,
ČESKOSLOVENSKÝ FILMOVÝ TÝDENÍK 1957 Č.19,3921667,1957,zpravodajský film,KF-K 32246,KF-K 32246,2016,Barrandov,HD telecine,"593,04",,
ČESKOSLOVENSKÝ FILMOVÝ TÝDENÍK 1957 Č.20,3921668,1957,zpravodajský film,KF-K 32247,KF-K 32247,2016,Barrandov,HD telecine,"570,00",,
ČESKOSLOVENSKÝ FILMOVÝ TÝDENÍK 1957 Č.21,3921669,1957,zpravodajský film,KF-K 32248,KF-K 32248,2016,Barrandov,HD telecine,"612,00",,
ČESKOSLOVENSKÝ FILMOVÝ TÝDENÍK 1957 Č.22,3921670,1957,zpravodajský film,KF-K 32249,KF-K 32249,2016,Barrandov,HD telecine,"591,04",,
ČESKOSLOVENSKÝ FILMOVÝ TÝDENÍK 1957 Č.23,3921671,1957,zpravodajský film,KF-K 32250,KF-K 32250,2016,Barrandov,HD telecine,"532,00",,
ČESKOSLOVENSKÝ FILMOVÝ TÝDENÍK 1957 Č.24,3921672,1957,zpravodajský film,KF-K 32256,KF-K 32256,2016,Barrandov,HD telecine,"558,04",,
ČESKOSLOVENSKÝ FILMOVÝ TÝDENÍK 1957 Č.25,3921673,1957,zpravodajský film,KF-K 32257,KF-K 32257,2016,Barrandov,HD telecine,"488,04",,
ČESKOSLOVENSKÝ FILMOVÝ TÝDENÍK 1957 Č.26,3921674,1957,zpravodajský film,KF-K 32258,KF-K 32258,2016,Barrandov,HD telecine,"507,04",,
ČESKOSLOVENSKÝ FILMOVÝ TÝDENÍK 1957 Č.27,3921675,1957,zpravodajský film,KF-K 32259,KF-K 32259,2016,Barrandov,HD telecine,"548,04",,
ČESKOSLOVENSKÝ FILMOVÝ TÝDENÍK 1957 Č.28,3921775,1957,zpravodajský film,KF-K 32260,KF-K 32260,2016,Barrandov,HD telecine,"576,04",,
ČESKOSLOVENSKÝ FILMOVÝ TÝDENÍK 1957 Č.29,3921676,1957,zpravodajský film,KF-K 32261,KF-K 32261,2016,Barrandov,HD telecine,"504,03",,
ČESKOSLOVENSKÝ FILMOVÝ TÝDENÍK 1957 Č.30,3921677,1957,zpravodajský film,KF-K 32262,KF-K 32262,2016,Barrandov,HD telecine,"560,04",,
ČESKOSLOVENSKÝ FILMOVÝ TÝDENÍK 1957 Č.31,3921678,1957,zpravodajský film,KF-K 32263,KF-K 32263,2016,Barrandov,HD telecine,"579,04",,
ČESKOSLOVENSKÝ FILMOVÝ TÝDENÍK 1957 Č.32,3921679,1957,zpravodajský film,KF-K 32264,KF-K 32264,2016,Barrandov,HD telecine,"533,04",,
ČESKOSLOVENSKÝ FILMOVÝ TÝDENÍK 1957 Č.33,3921680,1957,zpravodajský film,KF-K 32265,KF-K 32265,2016,Barrandov,HD telecine,"674,04",,
ČESKOSLOVENSKÝ FILMOVÝ TÝDENÍK 1957 Č.34,3921776,1957,zpravodajský film,KF-K 32266,KF-K 32266,2016,Barrandov,HD telecine,"584,02",,
ČESKOSLOVENSKÝ FILMOVÝ TÝDENÍK 1957 Č.35,3921777,1957,zpravodajský film,KF-K 32267,KF-K 32267,2016,Barrandov,HD telecine,"589,04",,
ČESKOSLOVENSKÝ FILMOVÝ TÝDENÍK 1957 Č.36,3921681,1957,zpravodajský film,KF-K 32268,KF-K 32268,2016,Barrandov,HD telecine,"609,04",,
ČESKOSLOVENSKÝ FILMOVÝ TÝDENÍK 1957 Č.37,3921778,1957,zpravodajský film,KF-K 32269,KF-K 32269,2016,Barrandov,HD telecine,"600,04",,
ČESKOSLOVENSKÝ FILMOVÝ TÝDENÍK 1957 Č.38,3921779,1957,zpravodajský film,KF-K 32276,KF-K 32276,2016,Barrandov,HD telecine,"580,04",,
ČESKOSLOVENSKÝ FILMOVÝ TÝDENÍK 1957 Č.42,3921682,1957,zpravodajský film,KF-K 32277,KF-K 32277,2016,Barrandov,HD telecine,"622,04",,
ČESKOSLOVENSKÝ FILMOVÝ TÝDENÍK 1957 Č.43,3921683,1957,zpravodajský film,KF-K 32278,KF-K 32278,2016,Barrandov,HD telecine,"554,68",,
ČESKOSLOVENSKÝ FILMOVÝ TÝDENÍK 1957 Č.44,3921684,1957,zpravodajský film,KF-K 32279,KF-K 32279,2016,Barrandov,HD telecine,"584,04",,
ČESKOSLOVENSKÝ FILMOVÝ TÝDENÍK 1957 Č.45,3921685,1957,zpravodajský film,KF-K 32280,KF-K 32280,2016,Barrandov,HD telecine,"584,04",,SOUBOR MA SPATNE ID
ČESKOSLOVENSKÝ FILMOVÝ TÝDENÍK 1957 Č.46,3921780,1957,zpravodajský film,KF-K 32281,KF-K 32281,2016,Barrandov,HD telecine,"606,04",,
ČESKOSLOVENSKÝ FILMOVÝ TÝDENÍK 1957 Č.48,3921686,1957,zpravodajský film,KF-K 32282,KF-K 32282,2016,Barrandov,HD telecine,"598,04",,
ČESKOSLOVENSKÝ FILMOVÝ TÝDENÍK 1957 Č.49,3922039,1957,zpravodajský film,KF-K 32515,KF-K 32515,2016,Barrandov,HD telecine,"581,04",,
ČESKOSLOVENSKÝ FILMOVÝ TÝDENÍK 1957 Č.50,3921687,1957,zpravodajský film,KF-K 32296,KF-K 32296,2016,Barrandov,HD telecine,"579,04",,
ČESKOSLOVENSKÝ FILMOVÝ TÝDENÍK 1957 Č.51,3921688,1957,zpravodajský film,KF-K 32297,KF-K 32297,2016,Barrandov,HD telecine,"606,06",,
ČESKOSLOVENSKÝ FILMOVÝ TÝDENÍK 1957 Č.52,3921689,1957,zpravodajský film,KF-K 32298,KF-K 32298,2016,Barrandov,HD telecine,"613,04",,
ČESKOSLOVENSKÝ FILMOVÝ TÝDENÍK 1969 Č.14,3920096,1969,zpravodajský film,KF-K 20078,KF-K 20078,2016,Barrandov,HD telecine,"593,04",,
ČESKOSLOVENŠTÍ DOBROVOLNÍCI VE SVĚTOVÉ VÁLCE,0064888,1934,dokument,KF-K 022751,x,2012,UPP,HD telecine,"2514,24","pro projekt EFG 1914, úprava rychlosti z 16 fps na 24/25 fps",
ČESKÝ ZVUKOVÝ TÝDENÍK AKTUALITA 1941 Č.17,3901177,1941,zpravodajský film,KF-K 25317,KF-K 25317,2016,Barrandov,HD telecine,"661,44",,
ČEŠI A SLOVÁCI,0061075,1947,dokument,KF-K 002410,KF-K 002410,2014,Barrandov,HD telecine,"756,040000",,
ČIŠTĚNÍ ODPADNÍCH VOD Z VÝROBY KYSELINY CITRONOVÉ,0066417,1962,dokument,KF-K 026198,KF-K 026198,2015,Barrandov,HD telecine,"652,040000",,
ČLOVĚK NENÍ SÁM,0061085,1949,dokument,KF-K 005341,KF-K 005341,2015,Barrandov,HD telecine,"795,040000",,
ČLOVĚK POD VODOU,4000585,1961,animovaný,KF-K 000403,KF-K 000403,2014,Barrandov,HD telecine,"1069,040000",,
ČTVRTÉHO LISTOPADU,0065524,1935,dokument,KF-K 41514,x,2016,Barrandov,HD telecine,"719,04",,
ČTYŘI LIDÉ - JEDNA ŘEČ,0012207,1939,hraný,HF-K 24951,HF-K 24951,2016,Barrandov,HD telecine,"285,04",,
ČTYŘI ROČNÍ DOBY,0010124,1912,hraný,HF-K 018906,x,2015,Barrandov,HD telecine,"76,720000",,
"ČTYŘI VRAŽDY STAČÍ, DRAHOUŠKU",0011092,1970,hraný,HF-K 003489,HF-K 003489,2016,Barrandov,HD telecine,"6 120,08",,
ČTYŘICET DĚDEČKŮ,4000588,1962,animovaný,KF-K 020652,KF-K 020652,2014,Barrandov,HD telecine,"487,520000",,
DALEKÁ CESTA,0010281,1949,hraný,HF-DP 010885,HF-DP 010885,2016,Barrandov,HD telecine,"5 889,08",,
DALIBOR,0065391,1969,dokument,KF-K 26394,KF-K 26394,2016,Barrandov,HD telecine,"414,32",,
DÁMA NA KOLEJÍCH,0011256,1966,hraný,HF-K 002648,HF-K 002648,2015,Barrandov,HD telecine,"4590,480000",,
DAŇOVÁ MORÁLKA,0064986,1947,dokument,KF-K 002446,KF-K 002446,2014,Česká televize,HD telecine,"691,880000",,
DAR ZEMĚ,0061113,1934,dokument,KF-K 006931,x,2016,Barrandov,HD telecine,"2 624,08",,
DÁREK,4000800,1946,animovaný,KF-K 019084,KF-K 019084,2014,Barrandov,HD telecine,"934,240000",,
DARVÁZ,0061115,1965,dokument,KF-K 6367,KF-K 6367,2016,Barrandov,HD telecine,"466,04",,
DAŘBUJÁN A PANDRHOLA,0010998,1959,hraný,HF-K 031388,HF-K 031388,2013,Barrandov,HD telecine,"4754,120000",,
DÁVNÝM EGYPTEM,0063660,1959,dokument,KF-K 018125,KF-K 018125,2014,Česká televize,HD telecine,"760,600000",,
DCERY EVINY (Princ z ulice),0020155,1928,hraný,,x,2016,UPP,HD sken,"2 813,64",přepis 8mm,
DEGLŮV ŽURNÁL IV. ROČNÍK Č.24,3901197,1928,zpravodajský film,KF-K 27412,x,2016,Barrandov,HD telecine,"404,48",,
DÉMANTY NOCI,0011000,1964,hraný,HF-DP 005999,HF-DP 005999,2014,Barrandov,HD telecine,"3832,040000",,
DESET SLADKÝCH MINUT,0061154,1942,dokument,KF-K 005792,KF-K 005792,2015,Barrandov,HD telecine,"662,040000",,
DĚTI,0061158,1960,dokument,KF-K 008402,KF-K 008402,2015,Barrandov,HD telecine,"2762,080000",,
DĚTI BEZ LÁSKY,0061162,1963,dokument,KF-K 13140,KF-K 13140,2016,Barrandov,HD telecine,"2 610,04",,
DĚTI NA ZAKÁZKU,0010644,1938,hraný,HF-K 011291,HF-K 011291,2015,Barrandov,HD telecine,"4174,080000",,
DEVÁTÝ SLET VŠESOKOLSKÝ,0060174,1932,dokument,KF-K 014774,x,2016,Barrandov,HD telecine,"316,24",,
DĚVČATA NEDEJTE SE!,0010646,1937,hraný,HF-DP 12175,HF-DP 12175,2016,Barrandov,HD telecine,"5 072,24",,
DEVĚTSIL,0064009,1990,dokument,KF-K 023209,KF-K 023209,2015,Česká televize,HD telecine,"1236,000000",,
DEZERTÉR,4000806,1965,animovaný,KF-K 001351,KF-K 001351,2014,Barrandov,HD telecine,"664,040000","Pozor, NFA není držitelem práv výrobce.",
DIAGNÓZA SMRTI,0011482,1979,hraný,HF-K 9943,HF-K 9943,2016,Barrandov,HD telecine,"5 151,00",,
DILEMA,0065325,1966,dokument,KF-K 26431,KF-K 26431,2016,Barrandov,HD telecine,"376,04",,
DÍLO BEDŘICHA  HROZNÉHO,0061181,1951,dokument,KF-K 002164,KF-K 002164,2014,Česká televize,HD telecine,"831,560000",,
DÍLO VÍRY A LÁSKY,3620494,1976,amatérský dokumentární,KF-K 043906,KF-K 043906,2014,Barrandov,HD telecine,"1825,000000",,
DÍRA,3600124,1963,amatérský,KF-K 32177,KF-K 32177,2016,Barrandov,HD telecine,"596,79",,
DISCOPŘÍBĚH,0011339,1988,hraný,HF-K 23005,HF-K 23005,2016,Barrandov,HD telecine,"4 923,04",,
DÍTĚ BATOLE,0061183,1951,dokument,KF-K 027300,KF-K 027300,2015,Barrandov,HD telecine,"798,520000",,
DÍVKA NA KOŠTĚTI,0011136,1971,hraný,HF-K 023006,HF-K 023006,2014,Barrandov,HD telecine,"4536,200000",,
DÍVKA V MODRÉM,0010652,1939,hraný,HF-K 022905,HF-K 022905,2015,Česká televize,HD telecine,"4940,280000",,
DIVOTOVORNÉ OKO,0060529,1939,dokument,KF-K 040633,KF-K 040633,2014,Barrandov,HD telecine,"581,040000",,
DO LESÍČKA NA ČEKANOU,4000811,1966,animovaný,KF-K 006161,KF-K 006161,2014,Barrandov,HD telecine,"551,400000","Pozor, NFA není držitelem práv výrobce.",
DO MĚSTA FESTIVALŮ,3620732,,amatérský dokumentární,KF-K 45817,x,2016,Barrandov,HD telecine,"910,24",,
DO ZEMĚ DÁLNÉ A NEJBLIŽŠÍ,0061199,1965,dokument,KF-K 5055,KF-K 5055,2016,Barrandov,HD telecine,"542,92",,
DOBRÁ KUCHYNĚ VITELLO ,4001716,1930,animovaný,KF-K 013566,x,2012,Barrandov,HD telecine,"528,125000",pro DVD Český animovaný film 1925-1945,
"DOBROU CHUŤ,LIDÉ ZÍTŘKA",0061202,1964,dokument,KF-K 6366,KF-K 6366,2016,Barrandov,HD telecine,"438,36",,
DOBRÝ VOJÁK ŠVEJK,0010260,1931,hraný,HF-DP 011583,HF-DP 011583,2015,Barrandov,HD telecine,"3500,560000",nekompletní (nedochovaly se některé díly) + prvních cca 9. minut je bez zvuku,
DOBRÝ VOJÁK ŠVEJK,0010541,1956,hraný,HF-K 024640,HF-K 024640,2014,Barrandov,HD telecine,"6345,600000",,
DOBRÝ VOJÁK ŠVEJK,0010541,1956,hraný,,,2015,Magyar Filmlabor,4K sken / 4K postprodukce,"6345,600000",Digitálně restaurováno EEA,
DOHNAT A PŘEDEHNAT,0061208,1948,dokument,KF-K 001262,KF-K 001262,2015,Barrandov,HD telecine,"1076,040000",,
DOMAŽLICKO,0060415,1937,dokument,KF-K 013459,KF-K 013459,2015,Barrandov,HD telecine,"557,040000",,
DOMY Z PANELŮ,0061216,1959,dokument,KF-K 024850,KF-K 024850,2014,Barrandov,HD telecine,"375,532400",,
DOPIS Z PRAHY,0060177,1945,dokument,KF-K 14051,KF-K 14051,2016,Barrandov,HD telecine,"578,04",,
DOSTIH,0011691,1981,hraný,A29408,A29408,4.4.2017,Barrandov,HD telecine,,,
DRÁHA PRESIDENTA MASARYKA,0061226,1928,dokument,KF-K 001053,x,2015,Barrandov,HD telecine,"2218,080000",,
DRAHÉ TETY A JÁ,0011013,1974,hraný,HF-K 031824,HF-K 031824,2016,Barrandov,HD telecine,"4 506,08",,
DRAHOUŠEK KLEMENTINA,4000824,1959,animovaný,KF-K 001665,KF-K 001665,2014,Barrandov,HD telecine,"395,030800",,
DRUHÁ DĚLNICKÁ OLYMPIADA ČESKOSLOVENSKÁ V PRAZE,0068331,1927,dokument,KF-K 000115,x,2015,Barrandov,HD telecine,"244,114000",,
DUDLÍK,4000828,1948,animovaný,KF-K 006824,KF-K 006824,2014,Česká televize,HD telecine,"78,240000",,
DŮLEŽITÉ DVĚ MINUTY ,4000143,1938,animovaný,KF-K 015469,KF-K 015469,2012,Barrandov,HD telecine,"231,00",pro DVD Český animovaný film 1925-1945,CHYBI v AIS
DŮM MILOSRDENSTVÍ VINCENTINUM,0061244,,dokument,KF-K 006447,x,2016,Barrandov,HD telecine,"823,48",,
DŮVOD K ROZVODU,0010665,1937,hraný,HF-DP 4773,HF-DP 4773,2016,Barrandov,HD telecine,"5 700,04",,
DVA MRAZÍCI,4000001,1954,animovaný,KF-K 014853,KF-K 014853,2014,Barrandov,HD telecine,"723,040000",,
DVA MUŽI HLÁSÍ PŘÍCHOD,0011912,1975,hraný,HF-K 31718,HF-K 31718,2016,Barrandov,HD telecine,"5 625,04",,
DVA PÓLY TIRUKUNAMALE,0061250,,dokument,KF-K 006411,KF-K 006411,2015,Barrandov,HD telecine,"617,800000",,
DVACÁTÝ OSMÝ ŘÍJEN TISÍC DEVĚT SET OSMNÁCT V PRAZE,0061256,,dokument,KF-K 026320,x,2014,Barrandov,HD telecine,"764,840000",,
DVĚ INVAZE NA PLÁŽI GIRON,0061264,1961,dokument,KF-K 311,KF-K 311,2016,Barrandov,HD telecine,"921,04",,
DVĚ KLUBÍČKA,4000831,1962,animovaný,KF-K 001369,KF-K 001369,2014,Barrandov,HD telecine,"494,040000",,
DVĚ RUDÉ RŮŽE,2200759,1928,hraný,HF-K 29914,x,2016,Barrandov,HD telecine,"3 653,04",,
DVOJÍ ŽIVOT JOSEFA HLINOMAZE,4000832,1975,animovaný,KF-K 005131,KF-K 005131,2014,Barrandov,HD telecine,"683,040000","Pozor, NFA není držitelem práv výrobce.",
DÝCHEJ ZHLUBOKA,0061273,1935,dokumentární,KF-K 6046,KF-K 6046,2016,Barrandov,HD telecine,"262,32",,
DÝM BRAMBOROVÉ NAŤE,0011290,1976,hraný,A31834,A31834,5.4.2017,Barrandov,HD telecine,,,
ECCE HOMO HOMOLKA,0011291,1969,hraný,HF-K 022415,HF-K 022415,2015,Barrandov,HD telecine,"4782,200000",,
EISENHOWER ODCHÁZÍ,0061280,,dokument,KF-K 009187,KF-K 009187,2014,Barrandov,HD telecine,"771,040000",,
ELEKTRICKÉ VLNY,0061282,,dokument,KF-K 012188,x,2014,Barrandov,HD telecine,"913,040000",,
ELEKTŘINA V LÉKAŘSTVÍ,0060348,,dokument,KF-K 015145,KF-K 015145,2014,Barrandov,HD telecine,"867,440000",,
ELMAR KLOS - OBRAZOVÉ KOMPOZICE,0081045,,dokument,KF-K 46390,KF-K 46390,2016,Barrandov + Cinepost,HD Telecine + magnet sken,"374,72",Zvuk skenován ze samostatného 35mm pásu v Cinepostu,
EMIL ZÁTOPEK,0061286,,dokument,KF-K 009141,KF-K 009141,2015,Barrandov,HD telecine,"1857,800000",,
EROTIKON,0010228,1929,hraný,HF-K 30922,x,2016,Barrandov,HD telecine,"5 124,04",,
ESALA PERAHERA,0069328,,dokument,KF-K 004638,KF-K 004638,2015,Barrandov,HD telecine,"638,040000",,
ETUDY PRO ELEKTRONOVÝ MIKROSKOP,0064527,1988,dokument,KF-K 20803,KF-K 20803,2016,Barrandov,HD telecine,"1 252,04",,
EVA TROPÍ HLOUPOSTI,0010670,1939,hraný,HF-K 022914,HF-K 022914,2013,UPP,HD telecine,"5091,400000",,
EVOLUCE,4000836,1981,animovaný,KF-K 13107,KF-K 13107,2016,Barrandov,HD telecine,"554,04",,
EXTASE,0010674,1932,hraný,HF-K 026149,HF-K 026149,2015,Barrandov,HD telecine,"5004,200000",,
FÁDNÍ ODPOLEDNE,0010029,1964,hraný,HF-K 029868,HF-K 029868,2015,Barrandov,HD telecine,"815,400000",,
FALEŠNÁ KOČIČKA,0010676,1937,hraný,HF-DP 6388,HF-DP 6388,2016,Barrandov,HD telecine,"6 426,00",,
FANTAISIE ÉROTIQUE ,4001163,1936,animovaný,KF-K 042587,KF-K 042587,2012,Barrandov,HD telecine,"131,036250",pro DVD Český animovaný film 1925-1945,
FARÁŘŮV KONEC,0011293,1968,hraný,HF-DP 012067,HF-DP 012067,2015,Barrandov,HD telecine,"5747,200000",,
FERDA MRAVENEC ,4000841,1944,animovaný,KF-K 001096,KF-K 001096,2012,Barrandov,HD telecine,"611,685417",pro DVD Český animovaný film 1925-1945,
FERDA V CIZÍCH SLUŽBÁCH,4000842,1977,animovaný,KF-K 012255,KF-K 012255,2015,Barrandov,HD telecine,"605,040000",,
FERDA V MRAVENIŠTI,4000038,1977,animovaný,KF-K 011822,KF-K 011822,2015,Barrandov,HD telecine,"938,040000",,
FEŠÁK HUBERT,0011295,1984,hraný,HF-K 22506,HF-K 22506,2016,Barrandov,HD telecine,"5 172,04",,
FIKMIK,4000844,1959,animovaný,KF-K 001285,KF-K 001285,2015,Barrandov,HD telecine,"967,040000",,
FILM VŠEMI OBORY,0063753,,dokument,KF-K 019403,x,2016,Barrandov,HD telecine,"681,60",,
FILMOVÝ REŽISÉR V ATELIERU,0061310,,dokument,KF-K 013030,KF-K 013030,2016,Barrandov,HD telecine,"282,04",,
FILMOVÝ ZPRAVODAJ 1972 Č.33,3922984,1972,zpravodajský film,KF-K 35321,KF-K 35321,2016,Barrandov,HD telecine,"551,00",,
FILMY ELMARA KLOSE,3620716,?,amatérský dokumentární,KF-K 22267,x,2016,Barrandov,HD telecine,"309,88",,
FOTOGRAFIA – STŘEDISKO PRACUJÍCÍHO DOROSTU,3620678,?,amatérský dokumentární,KF-K 045571,x,2015,Barrandov,HD telecine,"1046,560000",,
FRANK MEZI NÁMI,0061317,1946,dokument,KF-K 395,KF-K 395,2016,Barrandov,HD telecine,"743,04",,
Františkovy Lázně,0061321,1922,dokument,A12416,A12416,27.3.2017,Barrandov,HD telecine,352.480000,,
GENY,0066233,1976,dokument,KF-K 30147,KF-K 30147,2016,Barrandov,HD telecine,"1 046,48",,
GUERNICA,0012116,1978,hraný,HF-K 023277,HF-K 023277,2015,Barrandov,HD telecine,"1032,760000",,
HANBA,0010231,1929,hraný,HF-K 020886,x,2015,Barrandov,HD telecine,"1293,800000",,
HANIBAL V PRALESE ,4003417,1932,animovaný,KF-K 030551,x,2012,Barrandov,HD telecine,"280,750000",pro DVD Český animovaný film 1925-1945 (němá verze),
HANIBAL V PRALESE ,4003417,1932,animovaný,KF-K 036804,KF-K 036804,2012,Barrandov,HD telecine,"280,750000",pro DVD Český animovaný film 1925-1945 (česká zvuková verze),
"HANIČKO, CO S TEBOU BUDE",0010184,1928,hraný,HF-K 005657,x,2015,Barrandov,HD telecine,"4053,040000",,
HAVANA,0060271,1961,dokument,KF-K 15133,KF-K 15133,2016,Barrandov,HD telecine,"1 213,92",,
HELIKOPTÉRY ZASAHUJÍ,3620756,1965,amatérský dokumentární,KF-K 45785,KF-K 45785,2016,Barrandov,HD telecine,"1 070,04",,
HERMÍNA TÝRLOVÁ,0061358,1961,dokument,KF-K  011988,KF-K  011988,2017,Barrandov,HD telecine,"1 521,00",,
HLAVNÍ MĚSTO SVĚTA,0067206,,dokument,KF-K 036730,KF-K 036730,2014,Barrandov,HD telecine,"296,920000",,
HLEDÁ SE TÁTA!,0011008,1961,hraný,HF-K 9281,HF-K 9281,2016,Barrandov,HD telecine,"4 788,28",,
