Název titulu v AIS,číslo titulu v AIS,rok,žánr,číslo zdroje digitalizace obrazu v AIS,číslo zdroje digitalizace zvuku v AIS,datum digitalizace,místo digitalizace,technologie digitalizace,délka v sekundách,poznámky,kontrola kvality
CO JSEM PRINCI NEŘEKLA,4000561,1975,animovaný,KF-K 010639,KF-K 010639,2014,Barrandov,HD telecine,"549,040000","Pozor, NFA není držitelem práv výrobce.",
CO NÁM CHYBÍ A CO MÁME ,4000055,1935,animovaný,KF-K 013592,KF-K 013592,2012,Barrandov,HD telecine,"296,250000",pro DVD Český animovaný film 1925-1945,
CO NEBYLO VE SNÁŘI,0060916,1958,dokument,KF-K 005698,KF-K 005698,2015,Barrandov,HD telecine,"929,040000",,
COPAK JE TO ZA VOJÁKA ...,0010937,1987,hraný,HF-K 22963,HF-K 22963,2016,Barrandov,HD telecine,"5 106,20",,
COŽ TAKHLE DÁT SI ŠPENÁT,0011222,1977,hraný,HF-K 029130,HF-K 029130,2015,Barrandov,HD telecine,"5146,160000",,
ČAJOVA DREZŮRA NA CEJLONĚ,0068198,1962,dokument,KF-K 004637,KF-K 004637,2015,Barrandov,HD telecine,"465,040000",,
ČARODĚJ TÓNŮ ,4000571,1936,animovaný,KF-K 002486,KF-K 002486,2012,Barrandov,HD telecine,"105,083333",pro DVD Český animovaný film 1925-1945,
ČARODĚJŮV UČEŇ ,4000572,1943,animovaný,KF-K 011047,KF-K 011047,2012,Barrandov,HD telecine,"724,262083",pro DVD Český animovaný film 1925-1945,
ČAROVNÉ OČI,0010329,1923,hraný,HF-K 006238,x,2016,Barrandov,HD telecine,"3 692,32",,
ČAS PRACUJE PRO VRAHA,0011224,1979,hraný,HF-K 014048,HF-K 014048,2015,Barrandov,HD telecine,"5009,200000",,
ČAS SLUHŮ,0010362,1989,hraný,HF-K 22353,HF-K 22353,2016,Barrandov,HD telecine,"6 659,80",,
ČASU DOST,3600118,1958,amatérský hraný,KF-N 9007,x,2016,Barrandov,HD telecine,"868,04",,
ČERNÁ PUNČOCHA,0011841,1986,hraný,HF-K 026235,HF-K 026235,2015,Barrandov,HD telecine,"5014,080000",,
ČERNOBÍLÁ SYLVA,0010572,1961,hraný,HF-K 26819,HF-K 26819,2016,Barrandov,HD telecine,"1 645,32",,
ČERNOMOŘSKÁ INSPIRACE,3600132,1958,amatérský hraný,KF-K 32191,x,2016,Barrandov,HD telecine,"413,76",,
ČERNÝ PETR,0010588,1963,hraný,HF-K 023339,HF-K 023339,2014,Barrandov,HD telecine,"5123,080000",,
ČERTISKO,0010156,1918,hraný,HF-K 011007,x,2015,Barrandov,HD telecine,"1853,080000",,
ČERTŮV MLÝN,4000577,1951,animovaný,KF-K 019079,KF-K 019079,2014,Barrandov,HD telecine,"1174,040000",,
ČESKÁ VĚTA,0060983,1970,dokument,KF-K 008814,KF-K 008814,2015,Barrandov,HD telecine,"912,040000",,
ČESKÉ HRADY A ZÁMKY,0010009,1914,hraný,HF-K 013721,x,2014,Česká televize,HD telecine,"426,560000",,
ČESKÉ HRADY A ZÁMKY,0010009,1914,hraný,HF-K 030585,x,2015,Barrandov,HD telecine,"426,560000",,
ČESKOSLOVENSKÁ AKADEMIE VĚD,0060990,1954,dokument,KF-K 008765,KF-K 008765,2015,Barrandov,HD telecine,"794,080000",,
ČESKOSLOVENSKÁ ARMÁDA,0062079,1937,dokument,KF-K 007133,KF-K 007133,2015,Barrandov,HD telecine,"537,040000",,
ČESKOSLOVENSKÁ REPUBLIKA - MAĎARSKO,0061027,1953,dokument,KF-K 011856,KF-K 011856,2016,Barrandov,HD telecine,"645,80",,
ČESKOSLOVENSKÉ FILMOVÉ NOVINY 1946 Č.30,3920753,1946,zpravodajský film,KF-DP 017886,KF-DP 017886,2015,Barrandov,HD telecine,"631,560000",,
ČESKOSLOVENSKÉ FILMOVÉ NOVINY 1946 Č.32,3920755,1946,zpravodajský film,KF-DP 17888,KF-DP 17888,2016,Barrandov,HD telecine,"697,08",,
